date,URL
2019-06-04,http://www.mineral.k12.nv.us/files/6.4.19_minutes.pdf
2019-05-28,http://www.mineral.k12.nv.us/files/5.28.19_minutes.pdf
2019-05-07,http://www.mineral.k12.nv.us/files/5.7.19_minutes.pdf
2019-04-23,http://www.mineral.k12.nv.us/files/4.23.19_minutes.pdf
2019-04-08,http://www.mineral.k12.nv.us/files/4.8.19_minutes.pdf
2019-03-19,http://www.mineral.k12.nv.us/files/3.5.19_minutes.pdf
2019-03-05,http://www.mineral.k12.nv.us/files/3.5.19.pdf
2019-02-26,http://www.mineral.k12.nv.us/files/2.26.19_minutes.pdf
2019-02-05,http://www.mineral.k12.nv.us/files/2.5.19_minutes.pdf
2019-01-22,http://www.mineral.k12.nv.us/files/January_22_minutes.pdf
2019-01-08,http://www.mineral.k12.nv.us/files/January_8_minutes.pdf
2018-12-20,http://www.mineral.k12.nv.us/files/12.20.18_minutes.pdf
2018-12-04,http://www.mineral.k12.nv.us/files/12.4.18_minutes.pdf
2018-11-20,http://www.mineral.k12.nv.us/files/11.20.18.pdf
2018-09-25,http://www.mineral.k12.nv.us/files/9.25.18_minutes.pdf
2018-09-13,http://www.mineral.k12.nv.us/files/9.13.18_minutes.pdf
2018-09-04,http://www.mineral.k12.nv.us/files/9.4.18.pdf
2018-08-21,http://www.mineral.k12.nv.us/files/8.21.18_minutes.pdf
2018-08-07,http://www.mineral.k12.nv.us/files/8.7.18_minutes.pdf
2018-07-24,http://www.mineral.k12.nv.us/files/7.24.18_minutes.pdf
2018-07-10,http://www.mineral.k12.nv.us/files/7.10.18_minutes.pdf
2018-06-28,http://www.mineral.k12.nv.us/files/6.28.18.pdf
2018-06-22,http://www.mineral.k12.nv.us/files/6.22.18_minutes.pdf
2018-06-21,http://www.mineral.k12.nv.us/files/6.21.18.pdf
2108-06-19,http://www.mineral.k12.nv.us/files/6.19.18_minutes.pdf
2018-05-29,http://www.mineral.k12.nv.us/files/5.29.18_minutes.pdf
2018-04-17,http://www.mineral.k12.nv.us/files/4.17.18.pdf
2018-04-02,"http://www.mineral.k12.nv.us/files/april_2,_2018_minutes.pdf"
2018-03-08,http://www.mineral.k12.nv.us/files/3.8.18.pdf
2018-03-06,"http://www.mineral.k12.nv.us/files/march_6,_2018_minutes.pdf"
2018-02-20,"http://www.mineral.k12.nv.us/files/feb_20,_2108_minutes.pdf"
2018-02-06,http://www.mineral.k12.nv.us/files/2.6.18_minutes.pdf
2018-01-16,"http://www.mineral.k12.nv.us/files/january_16,_2018_minutes.pdf"
2017-01-05,http://www.mineral.k12.nv.us/files/1.5.17_minutes.pdf
2017-01-26,http://www.mineral.k12.nv.us/files/1.26.17_minutes.pdf
2017-02-02,http://www.mineral.k12.nv.us/files/2.2.17_minutes.pdf
2017-02-16,http://www.mineral.k12.nv.us/files/2.16.17_minutes.pdf
2017-03-02,http://www.mineral.k12.nv.us/files/3.2.17__minutes.pdf
2017-03-16,http://www.mineral.k12.nv.us/files/3.16.17_minutes.pdf
2017-04-12,http://www.mineral.k12.nv.us/files/4.12.17_minutes.pdf
2017-05-01,http://www.mineral.k12.nv.us/files/5.1.17_Minutes.pdf
2017-05-04,http://www.mineral.k12.nv.us/files/5.4.17_minutes.pdf
